id_servicio,servicio
830435519,7.8 Violencia Sexual
830435519,7.8 Violencia Sexual
830435519,7.9 Salud Nutricional
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.1 Servicios de atención primaria
831146136,7.10 Vacunación
831146136,7.10 Vacunación
831146136,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831146136,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831146136,7.12 Atención a Lesiones y Traumas
831146136,7.12 Atención a Lesiones y Traumas
831146136,7.12 Atención a Lesiones y Traumas
831146136,7.12 Atención a Lesiones y Traumas
831146136,7.13 Acciones a nivel Institucional
831146136,7.13 Acciones a nivel Institucional
831146136,7.13 Acciones a nivel Institucional
831146136,7.14 Acciones a nivel Comunitario
831146136,7.14 Acciones a nivel Comunitario
831146136,7.14 Acciones a nivel Comunitario
831146136,7.14 Acciones a nivel Comunitario
831146136,7.14 Acciones a nivel Comunitario
831146136,7.14 Acciones a nivel Comunitario
831146136,7.15 Gestión de Casos
831146136,7.15 Gestión de Casos
831146136,7.15 Gestión de Casos
831146136,7.2 Salud Mental y Acompañamiento Psicosocial
831146136,7.2 Salud Mental y Acompañamiento Psicosocial
831146136,7.2 Salud Mental y Acompañamiento Psicosocial
831146136,7.2 Salud Mental y Acompañamiento Psicosocial
831146136,7.3 Enfermedades No Transmisibles
831146136,7.3 Enfermedades No Transmisibles
831146136,7.3 Enfermedades No Transmisibles
831146136,7.3 Enfermedades No Transmisibles
831146136,7.3 Enfermedades No Transmisibles
831146136,7.4 Enfermedades Transmisibles
831146136,7.4 Enfermedades Transmisibles
831146136,7.4 Enfermedades Transmisibles
831146136,7.4 Enfermedades Transmisibles
831146136,7.4 Enfermedades Transmisibles
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.5 Salud Materna y Salud Perinatal
831146136,7.6 Prevención y Atención VIH
831146136,7.6 Prevención y Atención VIH
831146136,7.6 Prevención y Atención VIH
831146136,7.7 Salud Sexual y Reproductiva
831146136,7.7 Salud Sexual y Reproductiva
831146136,7.7 Salud Sexual y Reproductiva
831146136,7.7 Salud Sexual y Reproductiva
831146136,7.8 Violencia Sexual
831146136,7.8 Violencia Sexual
831146136,7.9 Salud Nutricional
831146136,7.9 Salud Nutricional
831146136,7.9 Salud Nutricional
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.1 Servicios de atención primaria
831284163,7.13 Acciones a nivel Institucional
831284163,7.13 Acciones a nivel Institucional
831284163,7.13 Acciones a nivel Institucional
831284163,7.13 Acciones a nivel Institucional
831284163,7.13 Acciones a nivel Institucional
831284163,7.15 Gestión de Casos
831284163,7.15 Gestión de Casos
831284163,7.15 Gestión de Casos
